34
hospital_name
ARRIVAL
TBA, Number
27
20, 2.0
60, 4.0
160, 1.0
120, 1.0
20, 1.0
100, 1.0
20, 1.0
40, 1.0
20, 2.0
20, 1.0
20, 2.0
20, 1.0
20, 3.0
20, 3.0
20, 2.0
20, 5.0
100, 3.0
100, 1.0
240, 2.0
20, 1.0
80, 1.0
40, 2.0
20, 2.0
20, 1.0
20, 2.0
20, 1.0
20, 3.0
SERVICE
TBA, Number, Time
31
60, 1.0, 60.0
60, 2.0, 30.0
40, 1.0, 40.0
20, 2.0, 10.0
20, 1.0, 20.0
20, 3.0, 6.66666666667
40, 1.0, 40.0
60, 1.0, 60.0
80, 2.0, 40.0
20, 1.0, 20.0
20, 2.0, 10.0
280, 2.0, 140.0
20, 3.0, 6.66666666667
20, 1.0, 20.0
20, 1.0, 20.0
40, 2.0, 20.0
20, 1.0, 20.0
20, 1.0, 20.0
20, 1.0, 20.0
40, 2.0, 20.0
20, 1.0, 20.0
40, 1.0, 40.0
20, 1.0, 20.0
20, 1.0, 20.0
20, 1.0, 20.0
20, 2.0, 10.0
40, 1.0, 40.0
20, 4.0, 5.0
100, 1.0, 100.0
40, 2.0, 20.0
140, 1.0, 140.0
