36
hospital_name
ARRIVAL
TBA, Number
33
20, 1.0
20, 2.0
20, 1.0
20, 1.0
20, 1.0
140, 1.0
20, 1.0
20, 1.0
60, 1.0
80, 1.0
40, 1.0
120, 13.0
20, 1.0
80, 2.0
80, 6.0
40, 1.0
20, 1.0
20, 1.0
120, 2.0
40, 1.0
40, 1.0
20, 3.0
20, 1.0
20, 1.0
60, 1.0
80, 7.0
20, 1.0
20, 1.0
40, 1.0
20, 2.0
20, 1.0
40, 1.0
20, 1.0
SERVICE
TBA, Number, Time
18
120, 10.0, 12.0
420, 8.0, 52.5
80, 1.0, 80.0
20, 1.0, 20.0
20, 1.0, 20.0
40, 3.0, 13.3333333333
20, 1.0, 20.0
20, 2.0, 10.0
40, 1.0, 40.0
100, 1.0, 100.0
20, 1.0, 20.0
40, 2.0, 20.0
40, 1.0, 40.0
140, 1.0, 140.0
20, 1.0, 20.0
60, 1.0, 60.0
20, 6.0, 3.33333333333
80, 1.0, 80.0
